#views/scripts/_FancyUpload.tpl

"Upload complete.";"Upload complete."
"An error occurred:";"An error occurred:"
"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock).";"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock)."
"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock).";"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock)."
"A required file was not found, please be patient and we'll fix this.";"A required file was not found, please be patient and we'll fix this."
"To enable the embedded uploader, install the latest Adobe Flash plugin.";"To enable the embedded uploader, install the latest Adobe Flash plugin."
"File Upload";"File Upload"
"This form is just an example fallback for the unobtrusive behaviour of FancyUpload. If this part is not changed, something must be wrong with your code.";"This form is just an example fallback for the unobtrusive behaviour of FancyUpload. If this part is not changed, something must be wrong with your code."
"Upload a Picture:";"Upload a Picture:"
"Click "Add Pictures" to select one or more pictures from your computer. After you have selected the pictures, they will begin to upload right away. When your upload is finished, click the button below your picture list to save them to your feedback.";"Click chọn để thêm ảnh từ máy tính của bạn. "
"Add Pictures";"Thêm hình ảnh"
"Clear List";"Xóa danh sách"

#views/scripts/_formButtonCancel.tpl

"Save Changes";"Save Changes"
"or";"hoặc là"

#views/scripts/_formImagerainbow1.tpl

"Customize feedback button color";"Customize feedback button color"
"Select the color of the feedback button. (Click on the rainbow below to choose your color.)";"Select the color of the feedback button. (Click on the rainbow below to choose your color.)"

#views/scripts/_formImagerainbow2.tpl

"Customize feedback button hover color";"Customize feedback button hover color"
"Select the hover color of the feedback button. (Click on the rainbow below to choose your color.)";"Select the hover color of the feedback button. (Click on the rainbow below to choose your color.)"

#views/scripts/delete.tpl

"Delete Feedback?";"Delete Feedback?"
"Are you sure that you want to delete this Feedback? It will not be recoverable after being deleted.";"Are you sure that you want to delete this Feedback? It will not be recoverable after being deleted."
"cancel";"hủy"

#views/scripts/detail.tpl

"Delete";"Delete"
"Feedback Details :";"Feedback Details :"
"Title :";"Tiêu đề :"
"Owner :";"Owner :"
"Anonymous User";"Anonymous User"
"Owner Email :";"Owner Email :"
"Owner Name :";"Owner Name :"
"Description :";"Mô Tả :"
"Creation Date :";"Creation Date :"
"about %s";"about %s"
"Category :";"Phân loại :"
"Severity :";"Severity :"
"Status :";"Status :"
"Views :";"Views :"
"Votes :";"Votes :"
"Comments :";"Comments :"
"Pictures :";"Pictures :"
"IP Address :";"IP Address :"
"Browser Detail :";"Browser Detail :"
"Close";"Close"

#views/scripts/index.tpl

"Feedback Plugin";"Feedback Plugin"

#views/scripts/admin-manage/blockuser.tpl

